benchmark,example_id,prompt_sha256
HotpotQA,5a7351785542994cef4bc539,e8fd34199893e3a3b567850aead2da35b1ba3d86c707d415284dbf00121fa579
HotpotQA,5ae0b7cf554299603e418446,2d27a264b524cd5f9ebffa8a7b38c3d6bf504bac4e164827da93bba53e282e9a
HotpotQA,5aba71b155429955dce3ee2a,0573b40ab17e6997e26a96e0a6a21420abdbd90257d5c3a8287f23e81c499ee3
HotpotQA,5ab953a45542996be202047f,0461040571e530b70f8a6f8f362c7602bb23af13ba609568d8bd42cc679d815c
HotpotQA,5ae4843455429970de88d997,9ecb61e5a010b812056cb477abe03fcc6b8152a680935ed4f057ea4aa38a9a2c
HotpotQA,5a7265815542990c210a411b,7a0f907b0e7d8a6c88e22529c757c601ae61951f826eff0a253d9c9c9c0b8eca
HotpotQA,5a7456ec55429979e288290f,81f31bcca757499acaaa76cb8815a2bc4108392a5a95d26797ae3dda6f03a278
HotpotQA,5a8b3e985542995d1e6f131c,9704c8ab956d1945d79f1f59bea29b8b905f170856d2fddd926341d1e2bc2fbe
HotpotQA,5a7e2e3a55429934daa2fbe6,4281f6b5efd4394366dbd12a9048657211aed0124b666b6fe3c3181ed5e0f8a9
HotpotQA,5ac19ba355429963665198b7,b96824144ea901dfc922ed699202525b6a359cab993a83b6655585f1d1b5fe91
HotpotQA,5adf0e7c5542992d7e9f9297,07f1357abd398dce126ff544a34ac9ae4875ed29d23a96db3ee3d440560dbfba
HotpotQA,5a72b8de5542994cef4bc3df,d1b1c32607ed5529527bf1023d461d902d581df75a28ed2c664d5d1e22ee5be1
HotpotQA,5ae3de615542992f92d823a5,cd3ce3fdc1697fa4996b04d3d88a636c2ddbcd5a094ae9996469ff5295dd5094
HotpotQA,5aba510f5542994dbf0198d6,975b88a2a223f52c8440921898dc23451b639674e6bbb30f018ed87c2a39c5cd
HotpotQA,5a75377c55429929fddd8514,cb9c59f75709c74882d0b8188926fdb0ca15db620866303efc415f32a35382a5
HotpotQA,5ab3fc215542992339550027,670cb9d63c0ea4683f2f730e17682b9ce403a2c4db221d5a5d93daedf7bbb9e8
HotpotQA,5ae684fe5542991bbc97610e,4a076b7fca685e7bdb36eab44fe96b7956a8f5903a74e5773d96048698a25828
HotpotQA,5ae5d19155429929b08079bc,718f0c92269fccbe5e9054f14d908522af3ac68a38a97fa7a152ebf0137bc77d
HotpotQA,5ac298805542990b17b15429,ead7dff71c312af07ad616765283bdc75e164bd14d549780a0f4f3c01cbb4ee6
HotpotQA,5a7568805542992db9473658,e0f8ac4ef7a7cfeb4f8a125f78512ada4e0d85844ddf12bd555dbb6a863f5ae5
HotpotQA,5a824e0b554299676cceb254,4fc6f31e04d47aee47c7b6a56797c952c329b4aaf76b4f2c668727ee11917b2a
HotpotQA,5ae52bc75542992663a4f12d,3658202d0396bd05eb25e655fdad7354bee839aa26caecce459e4d4da0993ede
HotpotQA,5a7bb7f2554299042af8f7b6,40569fb38e009fde6439137709b34af6081de9c5e0e885be85f29dedc471a9b0
HotpotQA,5a7133565542994082a3e65c,f8536dee114d0fd9909d82942af6db1e607439175a744334cace8e43c05929ea
HotpotQA,5a778a165542995d831811a9,91f3ce2fa8d8589f1f3849e5885747962608472a3e5bdb93d8646cf7518631b8
HotpotQA,5a75e67f55429976ec32bc8b,2b10bb48bef2240e53bcef5b0aa47f86e9a79116409a86c5c5a9efca0fa9c2aa
HotpotQA,5ab69f13554299710c8d1ef3,a7fb7e9951d4772a0591d7bbac80d672a6931ee2266f55e5136716b555668f97
HotpotQA,5a8a12ae5542992d82986e92,c16b4e341a4ad3353cc65784bacca7ec2906c1c3bf3367962f0d0ffa1969cf97
HotpotQA,5ae0a74e554299603e41842f,07162182554fdd92d2524bfb5f3b0a7c749fcb7e692653aa487831648d425087
HotpotQA,5a8bae135542996e8ac889b6,9d8bf464fa5efece3a79102707937890c7029f7031d3b323d59287b87d589c10
GSM8K,test-1232,914478c665452b3915b478e256d655185f0d0b5099c4272005568461629b3555
GSM8K,test-0343,db41096caec9a3100283f4d1ef01e9496b25c77590364f3374537156951a0572
GSM8K,test-0453,caf628bd9526330f09752183a6ad76aa36f2b504b9c7ad3f90631ca506e9dcf8
GSM8K,test-1115,7513314ee56d076d72f1ccf994f40cbb0203cec0e6c1853cfbc9f56b432dc113
